ID,Subject,Services,ProgramServiceSubject,Section,SectionItem,Contents,StatePlanSection,PlanPage,pdfPageNumber,EffectiveDate,TransmittalNumber,Superseded1,Superseded2,Superseded3,Superseded4,Superseded5,Superseded6,Superseded7,Superseded8,Superseded9,Superseded10,Superseded11,Superseded12,Superseded13,Superseded14,Superseded15,Superseded16,Superseded17,Superseded18,Superseded19,Superseded20,Superseded21,Superseded22,Superseded23,Superseded24,Superseded25
788,HCBS-AMH,1915(i),,Evaluation/Reevaluation of Eligibility,6,Needs-based Institutional and Waiver Criteria,Attachment 3.1-I,Page 12,801,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
789,HCBS-AMH,1915(i),,Evaluation/Reevaluation of Eligibility,"06.07.","Needs-based Institutional and Waiver CriteriaTarget Group(s)",Attachment 3.1-I,Page 13,802,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
790,HCBS-AMH,1915(i),,Evaluation/Reevaluation of Eligibility,"08.09.","Adjustment AuthorityHome and Community-Based Settings",Attachment 3.1-I,Page 14,803,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
791,HCBS-AMH,1915(i),,Evaluation/Reevaluation of Eligibility,9,Home and Community-Based Settings,Attachment 3.1-I,Page 15,804,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
792,HCBS-AMH,1915(i),,Person-Centered Planning and Service Delivery,"01.02.03.04.05.","Independent Assessment (42 CFR „441.720)Person-Centered Process (42 CFR „441.725(a))Person-Centered (P-C) Plan (42 CFR „441.725(b))Person-Centered Plan Review (42 CFR „441.720)Responsibility Face-to-Face AssessmentResponsibility Development Person-Centered Plan",Attachment 3.1-I,Page 16,805,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
793,HCBS-AMH,1915(i),,Person-Centered Planning and Service Delivery,"06.07.08.","Supporting Participant in Development P-C PlanInformed Choice of ProvidersProcess for P-C Plan Subject to MCD Approval",Attachment 3.1-I,Page 17,806,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
794,HCBS-AMH,1915(i),,Person-Centered Planning and Service Delivery,8,Process for P-C Plan Subject to MCD Approval,Attachment 3.1-I,Page 18,807,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
795,HCBS-AMH,1915(i),,Person-Centered Planning and Service Delivery,8,Process for P-C Plan Subject to MCD Approval,Attachment 3.1-I,Page 19,808,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
796,HCBS-AMH,1915(i),,Person-Centered Planning and Service Delivery,8,Process for P-C Plan Subject to MCD Approval,Attachment 3.1-I,Page 20,809,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
797,HCBS-AMH,1915(i),,Person-Centered Planning and Service Delivery,8,Process for P-C Plan Subject to MCD Approval,Attachment 3.1-I,Page 21,810,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
798,HCBS-AMH,1915(i),,Person-Centered Planning and Service Delivery,8,Process for P-C Plan Subject to MCD Approval,Attachment 3.1-I,Page 22,811,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
799,HCBS-AMH,1915(i),,Person-Centered Planning and Service Delivery,8,Process for P-C Plan Subject to MCD Approval,Attachment 3.1-I,Page 23,812,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
800,HCBS-AMH,1915(i),,Person-Centered Planning and Service Delivery,9,Maintenance of P-C Service Plan Forms,Attachment 3.1-I,Page 24,813,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
801,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Transition Assistance Services,Attachment 3.1-I,Page 25,814,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
802,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Transition Assistance Services,Attachment 3.1-I,Page 26,815,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
803,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,HCBS Psychosocial Rehabilitation Services,Attachment 3.1-I,Page 27,816,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
804,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,HCBS Psychosocial Rehabilitation Services,Attachment 3.1-I,Page 28,817,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
805,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Adaptive Aids,Attachment 3.1-I,Page 29,818,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
806,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Adaptive Aids,Attachment 3.1-I,Page 30,819,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
807,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Employment Services,Attachment 3.1-I,Page 31,820,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
808,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Employment Services,Attachment 3.1-I,Page 32,821,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
809,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Employment Services,Attachment 3.1-I,Page 33,822,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
810,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Employment Services,Attachment 3.1-I,Page 34,823,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
811,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Transportation,Attachment 3.1-I,Page 35,824,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
812,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Transportation,Attachment 3.1-I,Page 36,825,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
813,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Community Psychiatric Supports and Treatment,Attachment 3.1-I,Page 37,826,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
814,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Community Psychiatric Supports and Treatment,Attachment 3.1-I,Page 38,827,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
815,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Community Psychiatric Supports and Treatment,Attachment 3.1-I,Page 39,828,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
816,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Peer Support,Attachment 3.1-I,Page 40,829,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
817,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Peer Support,Attachment 3.1-I,Page 41,830,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
818,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Host Home/Companion Care,Attachment 3.1-I,Page 42,831,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
819,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Host Home/Companion Care,Attachment 3.1-I,Page 43,832,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
820,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Host Home/Companion Care,Attachment 3.1-I,Page 44,833,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
821,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Host Home/Companion Care,Attachment 3.1-I,Page 45,834,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
822,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Host Home/Companion Care,Attachment 3.1-I,Page 46,835,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
823,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Supervised Living Services,Attachment 3.1-I,Page 47,836,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
824,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Supervised Living Services,Attachment 3.1-I,Page 48,837,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
825,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Supervised Living Services,Attachment 3.1-I,Page 49,838,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
826,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Supervised Living Services,Attachment 3.1-I,Page 50,839,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
827,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Supervised Living Services,Attachment 3.1-I,Page 51,840,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
828,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Assisted Living Services,Attachment 3.1-I,Page 52,841,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
829,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Assisted Living Services,Attachment 3.1-I,Page 53,842,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
830,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Assisted Living Services,Attachment 3.1-I,Page 54,843,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
831,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Assisted Living Services,Attachment 3.1-I,Page 55,844,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
832,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Supported Home Living,Attachment 3.1-I,Page 56,845,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
833,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Supported Home Living,Attachment 3.1-I,Page 57,846,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
834,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Supported Home Living,Attachment 3.1-I,Page 58,847,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
835,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Supported Home Living,Attachment 3.1-I,Page 59,848,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
836,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Respite Care,Attachment 3.1-I,Page 60,849,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
837,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Respite Care,Attachment 3.1-I,Page 61,850,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
838,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Home Delivered Meals,Attachment 3.1-I,Page 62,851,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
839,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Minor Home Modification,Attachment 3.1-I,Page 63,852,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
840,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Minor Home Modification,Attachment 3.1-I,Page 64,853,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
841,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Nursing,Attachment 3.1-I,Page 65,854,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
842,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Nursing,Attachment 3.1-I,Page 66,855,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
843,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Substance Use Disorder (SUD) Services ,Attachment 3.1-I,Page 67,856,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
844,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,Substance Use Disorder (SUD) Services ,Attachment 3.1-I,Page 68,857,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
845,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,HCBS_AMH Recovery Management,Attachment 3.1-I,Page 69,858,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
846,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,HCBS_AMH Recovery Management,Attachment 3.1-I,Page 70,859,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
847,HCBS-AMH,1915(i),,Services-State Plan HCBS,b.,HCBS_AMH Recovery Management,Attachment 3.1-I,Page 71,860,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
848,HCBS-AMH,1915(i),,Services-State Plan HCBS,3,"Policies Concerning Payment for State Plan HCBS Furnished by Relatives, Legally Responsible Individuals, and Legal Guardians",Attachment 3.1-I,Page 72,861,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
849,HCBS-AMH,1915(i),,Participant-Direction of Services,"01.02.03.04.05.06.","Election of Participation DirectionDescription of Participant-DirectionLimited Implementation of Participant-DirectionParticipant-Directed ServicesFinancial ManagementParticipant-Directed P-C Service Plan",Attachment 3.1-I,Page 73,862,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
850,HCBS-AMH,1915(i),,Participant-Direction of Services,6,Participant-Directed P-C Service Plan,Attachment 3.1-I,Page 74,863,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
851,HCBS-AMH,1915(i),,Participant-Direction of Services,"06.07.","Voluntary and Involuntary Termination Participant-DirectionOpportunities for Participant-Direction",Attachment 3.1-I,Page 75,864,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
852,HCBS-AMH,1915(i),,Quality Improvement Strategy,,Tables describing Discovery Activity and Remediation,Attachment 3.1-I,Page 76,865,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
853,HCBS-AMH,1915(i),,Quality Improvement Strategy,,Tables describing Discovery Activity and Remediation,Attachment 3.1-I,Page 77,866,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
854,HCBS-AMH,1915(i),,Quality Improvement Strategy,,Tables describing Discovery Activity and Remediation,Attachment 3.1-I,Page 78,867,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
855,HCBS-AMH,1915(i),,Quality Improvement Strategy,,Tables describing Discovery Activity and Remediation,Attachment 3.1-I,Page 79,868,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
856,HCBS-AMH,1915(i),,Quality Improvement Strategy,,Tables describing Discovery Activity and Remediation,Attachment 3.1-I,Page 80,869,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
857,HCBS-AMH,1915(i),,Quality Improvement Strategy,,Tables describing Discovery Activity and Remediation,Attachment 3.1-I,Page 81,870,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
858,HCBS-AMH,1915(i),,Quality Improvement Strategy,,Tables describing Discovery Activity and Remediation,Attachment 3.1-I,Page 82,871,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
859,Reimbursement,1915(i),,Methods and Standards for Establishing Payment Rates,1,Services Provided Under Section 1915(i) of the SSA,Attachment 4.19-B,Page 83,872,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
860,Reimbursement,1915(i),,Methods and Standards for Establishing Payment Rates,1,Services Provided Under Section 1915(i) of the SSA,Attachment 4.19-B,Page 84,873,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
861,Reimbursement,1915(i),,Methods and Standards for Establishing Payment Rates,1,Services Provided Under Section 1915(i) of the SSA,Attachment 4.19-B,Page 85,874,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
862,Reimbursement,1915(i),,Methods and Standards for Establishing Payment Rates,1,Services Provided Under Section 1915(i) of the SSA,Attachment 4.19-B,Page 86,875,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
863,,1915(k),CFC,Eligibility/ Statewideness,,,Attachment 3.1-K ,Page 01,876,6/1/15,14-26,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
864,,1915(k),CFC,Included Services,,,Attachment 3.1-K ,Page 02,877,6/1/15,14-26,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
865,,1915(k),CFC,Included Services,,,Attachment 3.1-K ,Page 03,878,6/1/15,14-26,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
866,,1915(k),CFC,HCBS/ Assessment,,,Attachment 3.1-K ,Page 04,879,6/1/15,14-26,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
867,,1915(k),CFC,Assessment,,,Attachment 3.1-K ,Page 05,880,6/1/15,14-26,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
868,,1915(k),CFC,Person-Centered Service Plan,,,Attachment 3.1-K ,Page 06,881,6/1/15,14-26,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
869,,1915(k),CFC,Person-Centered Service Plan,,,Attachment 3.1-K ,Page 07,882,6/1/15,14-26,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
870,,1915(k),CFC,Service Delivery Model,,,Attachment 3.1-K ,Page 08,883,6/1/15,14-26,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
871,,1915(k),CFC,Service Delivery Model,,,Attachment 3.1-K ,Page 09,884,6/1/15,14-26,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
872,,1915(k),CFC,Support System,,,Attachment 3.1-K,Page 10,885,6/1/15,14-26,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
873,,1915(k),CFC,Provider Qualifications,,,Attachment 3.1-K,Page 11,886,6/1/15,14-26,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
874,,1915(k),CFC,Provider Qualifications,,,Attachment 3.1-K,Page 12,887,6/1/15,14-26,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
875,,1915(k),CFC,Provider Qualifications,,,Attachment 3.1-K,Page 13,888,6/1/15,14-26,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
876,,1915(k),CFC,State Assurances,,,Attachment 3.1-K,Page 14,889,6/1/15,14-26,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
877,,1915(k),CFC,Development and Implementation Council,,,Attachment 3.1-K,Page 15,890,6/1/15,14-26,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
878,,1915(k),CFC,Quality Assurance System,,,Attachment 3.1-K,Page 16,891,6/1/15,14-26,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
879,,1915(k),CFC,Quality Assurance System,,,Attachment 3.1-K,Page 17,892,6/1/15,14-26,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
880,,1915(k),CFC,Quality Assurance System,,,Attachment 3.1-K,Page 18,893,6/1/15,14-26,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
881,,1915(k),CFC,Quality Assurance System,,,Attachment 3.1-K,Page 19,894,6/1/15,14-26,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
882,,1915(k),CFC,Quality Assurance System,,,Attachment 3.1-K,Page 20,895,6/1/15,14-26,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
883,,1915(k),CFC,Quality Assurance System,,,Attachment 3.1-K,Page 21,896,6/1/15,14-26,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
884,,1915(k),CFC,Quality Assurance System,,,Attachment 3.1-K,Page 22,897,6/1/15,14-26,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
885,,1915(k),CFC,Quality Assurance System,,,Attachment 3.1-K,Page 23,898,6/1/15,14-26,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
886,,1915(k),CFC,Quality Assurance System,,,Attachment 3.1-K,Page 24,899,6/1/15,14-26,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
887,,1915(k),CFC,Quality Assurance System,,,Attachment 3.1-K,Page 25,900,6/1/15,14-26,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
888,,1915(k),CFC,Quality Assurance System,,,Attachment 3.1-K,Page 26,901,6/1/15,14-26,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
889,,1915(k),CFC,Quality Assurance System,,,Attachment 3.1-K,Page 27,902,6/1/15,14-26,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
890,,1915(k),CFC,Quality Assurance System,,,Attachment 3.1-K,Page 28,903,6/1/15,14-26,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
891,,1915(k),CFC,Quality Assurance System,,,Attachment 3.1-K,Page 29,904,6/1/15,14-26,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
892,,1915(k),CFC,Quality Assurance System,,,Attachment 3.1-K,Page 30,905,6/1/15,14-26,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
893,,1915(k),CFC,Quality Assurance System,,,Attachment 3.1-K,Page 31,906,6/1/15,14-26,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
894,,1915(k),CFC,Data Collection,,,Attachment 3.1-K,Page 32,907,6/1/15,14-26,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
895,SSI,Medicare,QMB,Coordination of Title XIX with Part A and Part B of Title XVIII,,"A. Part B buy-in agreements.B. Part A group premium billing arrangement.C. Payment of Part A and Part B deductible.",Attachment 3.2-A,Page 01,908,1/1/89,89-05,87-10,87-02,86-04,76-57,SuperNone,,,,,,,,,,,,,,,,,,,,
896,SSI,Medicare,QMB,Coordination of Title XIX with Part A and Part B of Title XVIII,,"Note for Item C.2., Attachment 3.2-A Page 1",Attachment 3.2-A,Page 01a,909,1/1/89,89-05,87-10,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
897,,Institutions,Institutions,Standards for Institutions,,,Attachment 4.11-A ,Page 01,910,3/1/12,1-Dec,94-30,88-11,,74-63,NoRecord,SuperNone,,,,,,,,,,,,,,,,,,,
898,ICF/IID,IID,Utilization Review,Utilization Review - ICF,,,Attachment 4.14-B ,Page 01,911,10/3/77,77-20,75-65,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
899,,Administration,,Cooperative Arrangements with State Health and Vocational Rehab Agencies with Title V Grantees,,I. General Information,Attachment 4.16-A ,Page 01,912,11/6/74,74-50,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
900,,Administration,,Cooperative Arrangements with State Health and Vocational Rehab Agencies with Title V Grantees,,I. General Information,Attachment 4.16-A ,Page 02,913,11/6/74,74-50,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
901,,Administration,,Cooperative Arrangements with State Health and Vocational Rehab Agencies with Title V Grantees,,I. General Information,Attachment 4.16-A ,Page 03,914,11/6/74,74-50,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
902,,Administration,,Cooperative Arrangements with State Health and Vocational Rehab Agencies with Title V Grantees,,I. General Information,Attachment 4.16-A,Page 03a,915,11/6/74,74-50,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
903,,Administration,,Cooperative Arrangements with State Health and Vocational Rehab Agencies with Title V Grantees,,I. General Information,Attachment 4.16-A,Page 03b,916,11/6/74,74-50,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
904,,Administration,,Cooperative Arrangements with State Health and Vocational Rehab Agencies with Title V Grantees,,I. General Information,Attachment 4.16-A ,Page 04,917,11/6/74,74-50,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
905,,Administration,,Cooperative Arrangements with State Health and Vocational Rehab Agencies with Title V Grantees,,I. General Information,Attachment 4.16-A ,Page 05,918,11/6/74,74-50,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
906,,Administration,,Cooperative Arrangements with State Health and Vocational Rehab Agencies with Title V Grantees,,I. General Information,Attachment 4.16-A ,Page 06,919,11/6/74,74-50,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
907,,Administration,,Cooperative Arrangements with State Health and Vocational Rehab Agencies with Title V Grantees,,I. General Information,Attachment 4.16-A ,Page 07,920,11/6/74,74-50,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
908,,Administration,,Cooperative Arrangements with State Health and Vocational Rehab Agencies with Title V Grantees,,I. General Information,Attachment 4.16-A ,Page 08,921,11/6/74,74-50,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
909,,Administration,,Cooperative Arrangements with State Health and Vocational Rehab Agencies with Title V Grantees,,I. General Information,Attachment 4.16-A ,Page 09,922,11/6/74,74-50,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
910,,Administration,,Cooperative Arrangements with State Health and Vocational Rehab Agencies with Title V Grantees,,II. Implementation of the Agreement,Attachment 4.16-A,Page 10,923,11/6/74,74-50,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
911,,Administration,,Cooperative Arrangements with State Health and Vocational Rehab Agencies with Title V Grantees,,II. Implementation of the Agreement,Attachment 4.16-A,Page 11,924,11/6/74,74-50,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
912,,Administration,,Cooperative Arrangements with State Health and Vocational Rehab Agencies with Title V Grantees,,II. Implementation of the Agreement,Attachment 4.16-A,Page 12,925,11/6/74,74-50,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
913,,,,Liens and Adjustments or Recoveries,,,Attachment 4.17-A ,Page 01,926,9/1/04,11-Apr,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
914,,,,Liens and Adjustments or Recoveries,,,Attachment 4.17-A ,Page 02,927,9/1/04,11-Apr,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
915,,,,Liens and Adjustments or Recoveries,,,Attachment 4.17-A ,Page 03,928,9/1/04,11-Apr,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
916,,,,Liens and Adjustments or Recoveries,,,Attachment 4.17-A ,Page 04,929,9/1/04,11-Apr,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
917,,,,Liens and Adjustments or Recoveries,,,Attachment 4.17-A ,Page 05,930,9/1/04,11-Apr,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
918,,,,Liens and Adjustments or Recoveries,,,Attachment 4.17-A ,Page 06,931,9/1/04,11-Apr,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
919,,Categorically Needy,Cost Sharing,Charges Imposed on the Categorically Needy,,,Attachment 4.18-A ,Page 01,932,4/1/03,8-Mar,15-Feb,,,,,,,,,,,,,,,,,,,,,,,,
920,,Categorically Needy,Cost Sharing,Charges Imposed on the Categorically Needy,,,Attachment 4.18-A ,Page 02,933,4/1/03,8-Mar,15-Feb,,,,,,,,,,,,,,,,,,,,,,,,
